A	B	C	D	E
0.22758172593745318	0.4746829672295896	0.48400277912354306	2.0779670547882785	0
0.18250504639362974	0.6727898796248437	0.015363963835884897	2.4746665365090856	0
0.18369989454841207	0.8564735773977363	0.26120996508571437	2.6147390763246054	0
0.6079065552716627	0.611903341204278	0.7759309994919186	2.910473608405912	0
0.8178748564879499	1.0683560877911749	0.36440667332682786	0.8358162069536703	0
0.440150532312382	0.32529090152599793	0.42493161006542113	1.3395063261969558	0
0.6260848576957055	0.6464112026957121	0.816531481288476	0.7683148456444877	0
0.6475512564768653	1.3637688772497174	0.10065947149516508	1.4269843491166554	0
0.9840076869712965	0.014792923843528705	0.6864992506930074	1.4711596413252237	1
0.33099115074409724	0.14608804437062428	0.47742874443613537	2.147916362494247	0
0.6749362549537685	1.840527200552492	0.16365714724675262	2.0528460620502527	0
0.6347887200632033	0.021773299260217538	0.7054622975232997	0.04104254651962991	1
0.42344466813673454	1.7306803650624905	0.07955170276641377	1.4009884958834828	0
0.7243171965437846	1.9127286905268015	0.7873957313571068	2.9593435794945107	0
0.3077399086197804	0.3966196818834409	0.5278018616572867	1.5772889203334486	0
0.2734603569325921	1.757999209684997	0.18869166857050945	2.413102956202599	0
0.11397049249498759	1.1006497598695921	0.6017631724243598	1.536992945834799	0
0.2654394117931911	0.906601767763515	0.7514706849230949	0.8414260605567978	0
0.3264329390998588	0.7525212930889322	0.09127210713971301	2.1710310949135456	0
0.6862213888966793	0.19721980653174653	0.7725849625195578	1.6140697442483947	0
0.1590172397631684	0.7860854895688363	0.09637197798955954	2.815314697053095	0
0.7221824554737128	1.8002598779164543	0.041869822321072836	2.851800686811933	0
0.6439387594123877	1.9995718909100701	0.7051735087091672	2.8271537573831655	0
0.5481882415312385	0.7238064834289197	0.23476593562372916	0.17627351603971408	1
0.05712122618424398	1.5605897879102377	0.018841553306671477	1.1750495375101941	0
0.8279779108738635	1.2463099049675117	0.4121398655660412	1.359189240997143	0
0.02136283665117722	0.00046807539128068676	0.9224202682734544	2.1573012345987426	0
0.023930950669198148	0.8307108201196971	0.7472413912367616	0.015146932273780944	1
0.9593248799344293	1.6839441417443333	0.691680180091904	2.179462931542652	0
0.20873390292971317	1.8390510738955181	0.8870815523169119	0.2239234513551328	0
0.3436322694163245	0.001367302997255182	0.6114981201085057	1.8328019879017206	0
0.8551919391871027	0.35647210814935315	0.9587501094592231	1.0402623914278468	0
0.30672801873747835	1.8015354667170362	0.47218891931488804	0.8790081254207094	0
0.8238453675302985	1.7288134563023356	0.3145883295207168	1.4282163680878242	0
0.23605605709247424	0.9998135574345326	0.9703830154416861	0.4247908588748557	0
0.6679092247329429	0.12698127463493614	0.09993642059917662	2.5177446027977433	0
0.8247020308744782	1.9917483079488916	0.30566848385125445	1.685935677872382	0
0.05614621475772619	1.129726625236623	0.3309823822940837	0.3814802145152497	0
0.8013524519865617	1.2117470767495016	0.2536782593475436	0.8966853120773763	0
0.47772168033878526	0.9005436675818108	0.20378858104402753	2.7128848801331307	0
0.7935248240588261	0.3861690872629304	0.11040520089494843	1.6114222327800707	0
0.10120799841428718	0.48827727331141535	0.44743905511304594	1.250564676263056	0
0.6296283986085538	1.8071423661578856	0.1648532559890823	0.6852074359692178	0
0.1483564587867663	1.9663699976419324	0.08730149041791624	0.26164439752979207	0
0.8416783960629937	1.4689646917197803	0.33778476559756454	2.2234551801543816	0
0.6973314729174559	0.8508565994281556	0.8459468689463435	1.2649543235054428	0
0.09300306483331111	1.007062435947752	0.9844376689295131	2.714420083591577	0
0.4700789012980304	1.1635762806539518	0.5419188506159958	2.2509387884544148	0
0.9959841036390241	0.16089889535585877	0.21452002139352866	0.4372200579264379	1
0.044048181058981006	1.1842729751894674	0.062112999521574674	0.049725115343176696	1
0.13736272211269895	0.05570520489830644	0.587955846253644	1.6966397170659202	1
0.6091463789108705	0.16037173425833373	0.5267278283429	1.8586205594116532	0
